timestamp;rawx;rawy;filteredx;filteredy;currentLineNumber
2021-02-22-10-20-31-174;0;0;0;0;6619212
2021-02-22-10-20-31-296;0;0;0;0;6619212
2021-02-22-10-20-31-308;0;0;0;0;6619212
2021-02-22-10-20-31-329;0;0;0;0;6619212
2021-02-22-10-20-31-347;0;0;0;0;6619212
2021-02-22-10-20-31-376;0;0;0;0;6619212
2021-02-22-10-20-31-399;0;0;0;0;6619212
2021-02-22-10-20-31-424;0;0;0;0;6619212
2021-02-22-10-20-31-442;0;0;0;0;6619212
2021-02-22-10-20-31-457;0;0;0;0;6619212
2021-02-22-10-20-31-501;0;0;0;0;6619212
2021-02-22-10-20-31-524;0;0;0;0;6619212
2021-02-22-10-20-31-541;0;0;0;0;6619212
2021-02-22-10-20-31-557;0;0;0;0;6619212
2021-02-22-10-20-31-574;0;0;0;0;6619212
2021-02-22-10-20-31-590;0;0;0;0;6619212
2021-02-22-10-20-31-607;0;0;0;0;6619212
2021-02-22-10-20-31-623;0;0;0;0;6619212
2021-02-22-10-20-31-640;0;0;0;0;6619212
2021-02-22-10-20-31-657;0;0;0;0;6619212
2021-02-22-10-20-31-674;0;0;0;0;6619212
2021-02-22-10-20-31-690;0;0;0;0;6619212
2021-02-22-10-20-31-707;0;0;0;0;6619212
2021-02-22-10-20-31-723;0;0;0;0;6619212
2021-02-22-10-20-31-741;0;0;0;0;6619212
2021-02-22-10-20-31-757;0;0;0;0;6619212
2021-02-22-10-20-31-774;0;0;0;0;6619212
2021-02-22-10-20-31-790;0;0;0;0;6619212
2021-02-22-10-20-31-807;0;0;0;0;6619212
2021-02-22-10-20-31-823;0;0;0;0;6619212
2021-02-22-10-20-31-841;0;0;0;0;6619212
2021-02-22-10-20-31-857;0;0;0;0;6619212
2021-02-22-10-20-31-874;0;0;0;0;6619212
2021-02-22-10-20-31-890;0;0;0;0;6619212
2021-02-22-10-20-31-908;0;0;0;0;6619212
2021-02-22-10-20-31-923;0;0;0;0;6619212
2021-02-22-10-20-31-941;0;0;0;0;6619212
2021-02-22-10-20-31-974;0;0;0;0;6619212
2021-02-22-10-20-31-990;0;0;0;0;6619212
2021-02-22-10-20-32-007;0;0;0;0;6619212
2021-02-22-10-20-32-022;0;0;0;0;6619212
